2025-06-23 13:50:54.424 INFO: Epoch 46: loss=7.3677, MAE_E=39.67 meV, MAE_F=57.72 meV / A, lr_cur=0.01000
2025-06-23 13:51:06.659 INFO: Epoch 48: loss=7.1613, MAE_E=36.82 meV, MAE_F=56.69 meV / A, lr_cur=0.01000
2025-06-23 13:51:18.768 INFO: Epoch 50: loss=6.9368, MAE_E=43.44 meV, MAE_F=55.74 meV / A, lr_cur=0.01000
2025-06-23 13:51:30.927 INFO: Epoch 52: loss=6.7337, MAE_E=37.28 meV, MAE_F=54.81 meV / A, lr_cur=0.01000
2025-06-23 13:51:43.048 INFO: Epoch 54: loss=6.5541, MAE_E=37.60 meV, MAE_F=53.94 meV / A, lr_cur=0.01000
2025-06-23 13:51:55.264 INFO: Epoch 56: loss=6.3936, MAE_E=41.02 meV, MAE_F=53.18 meV / A, lr_cur=0.01000
2025-06-23 13:52:07.379 INFO: Epoch 58: loss=6.2310, MAE_E=33.44 meV, MAE_F=52.40 meV / A, lr_cur=0.01000
2025-06-23 13:52:19.540 INFO: Epoch 60: loss=6.0642, MAE_E=35.25 meV, MAE_F=51.61 meV / A, lr_cur=0.01000
2025-06-23 13:52:31.661 INFO: Epoch 62: loss=5.9372, MAE_E=32.69 meV, MAE_F=50.95 meV / A, lr_cur=0.01000
2025-06-23 13:52:43.891 INFO: Epoch 64: loss=5.8492, MAE_E=31.66 meV, MAE_F=50.45 meV / A, lr_cur=0.01000
2025-06-23 13:52:56.125 INFO: Epoch 66: loss=5.7304, MAE_E=31.29 meV, MAE_F=49.84 meV / A, lr_cur=0.01000
2025-06-23 13:53:08.284 INFO: Epoch 68: loss=5.6042, MAE_E=29.83 meV, MAE_F=49.20 meV / A, lr_cur=0.01000
2025-06-23 13:53:20.619 INFO: Epoch 70: loss=5.4960, MAE_E=29.46 meV, MAE_F=48.65 meV / A, lr_cur=0.01000
2025-06-23 13:53:32.665 INFO: Epoch 72: loss=5.4341, MAE_E=28.77 meV, MAE_F=48.32 meV / A, lr_cur=0.01000
2025-06-23 13:53:44.821 INFO: Epoch 74: loss=5.3547, MAE_E=29.24 meV, MAE_F=47.87 meV / A, lr_cur=0.01000
2025-06-23 13:53:57.169 INFO: Epoch 76: loss=5.2993, MAE_E=29.83 meV, MAE_F=47.54 meV / A, lr_cur=0.01000
2025-06-23 13:54:09.381 INFO: Epoch 78: loss=5.2277, MAE_E=40.29 meV, MAE_F=47.14 meV / A, lr_cur=0.01000
2025-06-23 13:54:21.654 INFO: Epoch 80: loss=5.1750, MAE_E=33.39 meV, MAE_F=46.85 meV / A, lr_cur=0.01000
2025-06-23 13:54:33.900 INFO: Epoch 82: loss=5.1070, MAE_E=28.41 meV, MAE_F=46.50 meV / A, lr_cur=0.01000
2025-06-23 13:54:46.148 INFO: Epoch 84: loss=5.0625, MAE_E=27.51 meV, MAE_F=46.22 meV / A, lr_cur=0.01000
2025-06-23 13:54:58.335 INFO: Epoch 86: loss=4.9947, MAE_E=26.95 meV, MAE_F=45.87 meV / A, lr_cur=0.01000
2025-06-23 13:55:10.610 INFO: Epoch 88: loss=4.9447, MAE_E=25.98 meV, MAE_F=45.61 meV / A, lr_cur=0.01000
2025-06-23 13:55:22.707 INFO: Epoch 90: loss=4.8832, MAE_E=26.39 meV, MAE_F=45.29 meV / A, lr_cur=0.01000
2025-06-23 13:55:34.933 INFO: Epoch 92: loss=4.8207, MAE_E=26.64 meV, MAE_F=44.96 meV / A, lr_cur=0.01000
2025-06-23 13:55:47.035 INFO: Epoch 94: loss=4.7742, MAE_E=26.49 meV, MAE_F=44.71 meV / A, lr_cur=0.01000
2025-06-23 13:55:59.227 INFO: Epoch 96: loss=4.7506, MAE_E=25.14 meV, MAE_F=44.54 meV / A, lr_cur=0.01000
2025-06-23 13:56:11.371 INFO: Epoch 98: loss=4.7300, MAE_E=24.51 meV, MAE_F=44.39 meV / A, lr_cur=0.01000
2025-06-23 13:56:23.472 INFO: Epoch 100: loss=4.6970, MAE_E=24.29 meV, MAE_F=44.20 meV / A, lr_cur=0.01000
2025-06-23 13:56:35.635 INFO: Epoch 102: loss=4.6566, MAE_E=24.97 meV, MAE_F=43.96 meV / A, lr_cur=0.01000
2025-06-23 13:56:47.817 INFO: Epoch 104: loss=4.6290, MAE_E=25.52 meV, MAE_F=43.81 meV / A, lr_cur=0.01000
2025-06-23 13:56:59.920 INFO: Epoch 106: loss=4.6116, MAE_E=24.41 meV, MAE_F=43.74 meV / A, lr_cur=0.01000
2025-06-23 13:57:12.032 INFO: Epoch 108: loss=4.5686, MAE_E=24.20 meV, MAE_F=43.51 meV / A, lr_cur=0.01000
2025-06-23 13:57:24.224 INFO: Epoch 110: loss=4.5496, MAE_E=24.51 meV, MAE_F=43.36 meV / A, lr_cur=0.01000
2025-06-23 13:57:36.574 INFO: Epoch 112: loss=4.5133, MAE_E=24.00 meV, MAE_F=43.16 meV / A, lr_cur=0.01000
2025-06-23 13:57:48.832 INFO: Epoch 114: loss=4.4775, MAE_E=24.60 meV, MAE_F=42.97 meV / A, lr_cur=0.01000
2025-06-23 13:58:01.205 INFO: Epoch 116: loss=4.4444, MAE_E=23.02 meV, MAE_F=42.80 meV / A, lr_cur=0.01000
2025-06-23 13:58:13.361 INFO: Epoch 118: loss=4.4123, MAE_E=26.69 meV, MAE_F=42.63 meV / A, lr_cur=0.01000
2025-06-23 13:58:25.595 INFO: Epoch 120: loss=4.3912, MAE_E=22.28 meV, MAE_F=42.51 meV / A, lr_cur=0.01000
2025-06-23 13:58:37.767 INFO: Epoch 122: loss=4.3866, MAE_E=24.99 meV, MAE_F=42.45 meV / A, lr_cur=0.01000
2025-06-23 13:58:49.942 INFO: Epoch 124: loss=4.3536, MAE_E=21.96 meV, MAE_F=42.26 meV / A, lr_cur=0.01000
2025-06-23 13:59:02.189 INFO: Epoch 126: loss=4.3360, MAE_E=22.37 meV, MAE_F=42.13 meV / A, lr_cur=0.01000
2025-06-23 13:59:14.235 INFO: Epoch 128: loss=4.3193, MAE_E=21.68 meV, MAE_F=42.02 meV / A, lr_cur=0.01000
2025-06-23 13:59:26.528 INFO: Epoch 130: loss=4.3069, MAE_E=21.64 meV, MAE_F=41.95 meV / A, lr_cur=0.01000
2025-06-23 13:59:38.741 INFO: Epoch 132: loss=4.3122, MAE_E=22.26 meV, MAE_F=41.97 meV / A, lr_cur=0.01000
2025-06-23 13:59:50.947 INFO: Epoch 134: loss=4.2923, MAE_E=25.07 meV, MAE_F=41.86 meV / A, lr_cur=0.01000
2025-06-23 14:00:03.116 INFO: Epoch 136: loss=4.2852, MAE_E=21.30 meV, MAE_F=41.81 meV / A, lr_cur=0.01000
2025-06-23 14:00:15.472 INFO: Epoch 138: loss=4.2830, MAE_E=22.56 meV, MAE_F=41.74 meV / A, lr_cur=0.01000
2025-06-23 14:00:27.725 INFO: Epoch 140: loss=4.2580, MAE_E=22.84 meV, MAE_F=41.60 meV / A, lr_cur=0.01000
