Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.7790        -162.3946    -170.0057       7.6111  1840.1
0.7800        -162.3964    -170.0232       7.6268  1843.9
0.7810        -162.3985    -170.0449       7.6464  1848.6
0.7820        -162.4009    -170.0663       7.6654  1853.2
0.7830        -162.4034    -170.0822       7.6789  1856.4
0.7840        -162.4057    -170.0888       7.6832  1857.5
0.7850        -162.4078    -170.0854       7.6776  1856.1
0.7860        -162.4100    -170.0737       7.6638  1852.8
0.7870        -162.4120    -170.0557       7.6437  1847.9
0.7880        -162.4139    -170.0324       7.6185  1841.9
0.7890        -162.4155    -170.0047       7.5892  1834.8
0.7900        -162.4170    -169.9729       7.5559  1826.7
0.7910        -162.4181    -169.9367       7.5186  1817.7
0.7920        -162.4188    -169.8960       7.4772  1807.7
0.7930        -162.4190    -169.8513       7.4323  1796.8
0.7940        -162.4186    -169.8046       7.3859  1785.6
0.7950        -162.4178    -169.7589       7.3411  1774.8
0.7960        -162.4165    -169.7182       7.3017  1765.3
0.7970        -162.4150    -169.6862       7.2712  1757.9
0.7980        -162.4135    -169.6639       7.2504  1752.9
0.7990        -162.4121    -169.6482       7.2361  1749.4
0.8000        -162.4106    -169.6317       7.2210  1745.8
0.8010        -162.4091    -169.6048       7.1957  1739.6
0.8020        -162.4070    -169.5583       7.1513  1728.9
0.8030        -162.4041    -169.4864       7.0823  1712.2
0.8040        -162.4000    -169.3890       6.9890  1689.7
0.8050        -162.3944    -169.2738       6.8794  1663.2
0.8060        -162.3875    -169.1557       6.7682  1636.3
0.8070        -162.3797    -169.0519       6.6721  1613.1
0.8080        -162.3714    -168.9770       6.6056  1597.0
0.8090        -162.3629    -168.9402       6.5773  1590.1
0.8100        -162.3544    -168.9444       6.5900  1593.2
0.8110        -162.3462    -168.9877       6.6415  1605.6
0.8120        -162.3388    -169.0646       6.7259  1626.0
0.8130        -162.3322    -169.1666       6.8344  1652.3
0.8140        -162.3268    -169.2839       6.9571  1682.0
0.8150        -162.3227    -169.4055       7.0828  1712.3
0.8160        -162.3197    -169.5201       7.2003  1740.8
0.8170        -162.3175    -169.6183       7.3008  1765.0
0.8180        -162.3159    -169.6961       7.3802  1784.2
0.8190        -162.3149    -169.7549       7.4400  1798.7
0.8200        -162.3146    -169.7987       7.4841  1809.4
0.8210        -162.3148    -169.8306       7.5157  1817.0
0.8220        -162.3156    -169.8519       7.5363  1822.0
0.8230        -162.3165    -169.8621       7.5455  1824.2
0.8240        -162.3178    -169.8596       7.5418  1823.3
0.8250        -162.3192    -169.8409       7.5216  1818.4
0.8260        -162.3205    -169.8000       7.4795  1808.2
0.8270        -162.3210    -169.7316       7.4105  1791.6
0.8280        -162.3204    -169.6347       7.3143  1768.3
0.8290        -162.3183    -169.5150       7.1966  1739.9
0.8300        -162.3150    -169.3832       7.0682  1708.8
0.8310        -162.3103    -169.2528       6.9424  1678.4
0.8320        -162.3045    -169.1374       6.8329  1651.9
0.8330        -162.2976    -169.0500       6.7524  1632.5
0.8340        -162.2902    -169.0013       6.7111  1622.5
0.8350        -162.2827    -168.9981       6.7153  1623.5
0.8360        -162.2755    -169.0420       6.7665  1635.9
0.8370        -162.2691    -169.1305       6.8614  1658.8
0.8380        -162.2638    -169.2576       6.9939  1690.8
0.8390        -162.2598    -169.4150       7.1552  1729.8
0.8400        -162.2576    -169.5930       7.3355  1773.4
0.8410        -162.2572    -169.7809       7.5237  1818.9
0.8420        -162.2585    -169.9675       7.7090  1863.7
0.8430        -162.2615    -170.1434       7.8819  1905.5
0.8440        -162.2661    -170.3018       8.0356  1942.7
0.8450        -162.2723    -170.4373       8.1650  1974.0
0.8460        -162.2798    -170.5447       8.2650  1998.1
0.8470        -162.2882    -170.6194       8.3312  2014.2
0.8480        -162.2971    -170.6575       8.3603  2021.2
0.8490        -162.3061    -170.6574       8.3513  2019.0
0.8500        -162.3147    -170.6212       8.3064  2008.2
0.8510        -162.3228    -170.5541       8.2313  1990.0
0.8520        -162.3301    -170.4632       8.1331  1966.3
0.8530        -162.3366    -170.3556       8.0190  1938.7
0.8540        -162.3421    -170.2374       7.8954  1908.8
0.8550        -162.3464    -170.1130       7.7666  1877.7
0.8560        -162.3495    -169.9853       7.6359  1846.1
0.8570        -162.3513    -169.8572       7.5060  1814.7
0.8580        -162.3517    -169.7316       7.3799  1784.2
0.8590        -162.3507    -169.6127       7.2620  1755.7
0.8600        -162.3484    -169.5067       7.1584  1730.6
0.8610        -162.3450    -169.4213       7.0763  1710.8
0.8620        -162.3410    -169.3642       7.0232  1697.9
0.8630        -162.3368    -169.3405       7.0037  1693.2
0.8640        -162.3328    -169.3501       7.0173  1696.5
0.8650        -162.3291    -169.3879       7.0588  1706.6
0.8660        -162.3256    -169.4465       7.1209  1721.5
0.8670        -162.3228    -169.5187       7.1959  1739.7
0.8680        -162.3207    -169.5978       7.2771  1759.3
0.8690        -162.3193    -169.6773       7.3580  1778.9
0.8700        -162.3187    -169.7520       7.4333  1797.1
0.8710        -162.3188    -169.8177       7.4989  1812.9
0.8720        -162.3196    -169.8709       7.5513  1825.6
0.8730        -162.3209    -169.9083       7.5874  1834.3
0.8740        -162.3226    -169.9267       7.6042  1838.4
0.8750        -162.3243    -169.9232       7.5989  1837.1
0.8760        -162.3256    -169.8971       7.5714  1830.5
0.8770        -162.3266    -169.8511       7.5245  1819.1
0.8780        -162.3271    -169.7903       7.4632  1804.3
0.8790        -162.3268    -169.7204       7.3935  1787.5
0.8800        -162.3260    -169.6475       7.3215  1770.1
0.8810        -162.3244    -169.5774       7.2530  1753.5
0.8820        -162.3222    -169.5152       7.1930  1739.0
0.8830        -162.3195    -169.4652       7.1457  1727.5
0.8840        -162.3164    -169.4302       7.1138  1719.8
0.8850        -162.3132    -169.4117       7.0985  1716.1
0.8860        -162.3098    -169.4096       7.0998  1716.4
0.8870        -162.3064    -169.4228       7.1164  1720.5
0.8880        -162.3033    -169.4502       7.1469  1727.8
0.8890        -162.3004    -169.4903       7.1898  1738.2
0.8900        -162.2980    -169.5411       7.2431  1751.1
0.8910        -162.2959    -169.6013       7.3053  1766.1
0.8920        -162.2944    -169.6713       7.3769  1783.4
0.8930        -162.2939    -169.7517       7.4578  1803.0
0.8940        -162.2944    -169.8392       7.5447  1824.0
0.8950        -162.2960    -169.9273       7.6313  1845.0
0.8960        -162.2985    -170.0079       7.7095  1863.8
0.8970        -162.3016    -170.0726       7.7709  1878.7
0.8980        -162.3052    -170.1143       7.8091  1887.9
0.8990        -162.3089    -170.1292       7.8202  1890.6
0.9000        -162.3124    -170.1167       7.8043  1886.8
0.9010        -162.3152    -170.0816       7.7664  1877.6
0.9020        -162.3176    -170.0346       7.7170  1865.7
0.9030        -162.3200    -169.9869       7.6670  1853.6
0.9040        -162.3222    -169.9448       7.6225  1842.8
0.9050        -162.3240    -169.9095       7.5855  1833.9
0.9060        -162.3254    -169.8817       7.5563  1826.8
0.9070        -162.3263    -169.8631       7.5369  1822.1
0.9080        -162.3268    -169.8577       7.5309  1820.7
0.9090        -162.3271    -169.8715       7.5444  1823.9
0.9100        -162.3276    -169.9124       7.5848  1833.7
0.9110        -162.3288    -169.9871       7.6582  1851.5
0.9120        -162.3313    -170.0969       7.7656  1877.4
0.9130        -162.3353    -170.2351       7.8998  1909.9
0.9140        -162.3409    -170.3878       8.0469  1945.4
0.9150        -162.3479    -170.5374       8.1895  1979.9
0.9160        -162.3561    -170.6671       8.3111  2009.3
0.9170        -162.3650    -170.7646       8.3996  2030.7
0.9180        -162.3743    -170.8243       8.4500  2042.9
0.9190        -162.3838    -170.8478       8.4639  2046.2
0.9200        -162.3934    -170.8410       8.4475  2042.3
0.9210        -162.4033    -170.8116       8.4083  2032.8
0.9220        -162.4130    -170.7638       8.3508  2018.9
0.9230        -162.4220    -170.6989       8.2769  2001.0
0.9240        -162.4303    -170.6185       8.1882  1979.6
0.9250        -162.4381    -170.5236       8.0855  1954.8
0.9260        -162.4449    -170.4119       7.9670  1926.1
0.9270        -162.4506    -170.2798       7.8292  1892.8
0.9280        -162.4548    -170.1231       7.6683  1853.9
0.9290        -162.4575    -169.9386       7.4810  1808.6
0.9300        -162.4579    -169.7239       7.2660  1756.6
0.9310        -162.4556    -169.4826       7.0270  1698.8
0.9320        -162.4503    -169.2261       6.7758  1638.1
0.9330        -162.4420    -168.9745       6.5325  1579.3
0.9340        -162.4312    -168.7539       6.3226  1528.6
0.9350        -162.4186    -168.5910       6.1724  1492.2
0.9360        -162.4052    -168.5073       6.1021  1475.2
0.9370        -162.3919    -168.5130       6.1211  1479.8
0.9380        -162.3796    -168.6048       6.2252  1505.0
0.9390        -162.3689    -168.7674       6.3985  1546.9
0.9400        -162.3600    -168.9771       6.6171  1599.8
0.9410        -162.3531    -169.2075       6.8544  1657.1
0.9420        -162.3480    -169.4354       7.0874  1713.4
0.9430        -162.3447    -169.6450       7.3003  1764.9
0.9440        -162.3432    -169.8287       7.4855  1809.7
0.9450        -162.3432    -169.9851       7.6418  1847.5
0.9460        -162.3448    -170.1165       7.7717  1878.9
0.9470        -162.3477    -170.2269       7.8792  1904.9
0.9480        -162.3521    -170.3189       7.9668  1926.1
0.9490        -162.3574    -170.3918       8.0344  1942.4
0.9500        -162.3634    -170.4437       8.0803  1953.5
0.9510        -162.3698    -170.4723       8.1025  1958.9
0.9520        -162.3763    -170.4767       8.1005  1958.4
0.9530        -162.3827    -170.4581       8.0754  1952.3
0.9540        -162.3891    -170.4174       8.0284  1940.9
0.9550        -162.3951    -170.3542       7.9591  1924.2
0.9560        -162.4005    -170.2661       7.8657  1901.6
0.9570        -162.4047    -170.1507       7.7459  1872.7
0.9580        -162.4076    -170.0073       7.5996  1837.3
0.9590        -162.4088    -169.8387       7.4298  1796.2
0.9600        -162.4079    -169.6515       7.2436  1751.2
0.9610        -162.4049    -169.4578       7.0529  1705.1
0.9620        -162.3997    -169.2737       6.8739  1661.9
0.9630        -162.3931    -169.1168       6.7238  1625.5
0.9640        -162.3854    -169.0017       6.6163  1599.6
0.9650        -162.3771    -168.9359       6.5588  1585.7
0.9660        -162.3685    -168.9207       6.5522  1584.1
0.9670        -162.3599    -168.9528       6.5929  1593.9
0.9680        -162.3518    -169.0270       6.6752  1613.8
0.9690        -162.3446    -169.1365       6.7919  1642.0
0.9700        -162.3386    -169.2733       6.9347  1676.5
0.9710        -162.3342    -169.4280       7.0938  1715.0
0.9720        -162.3313    -169.5896       7.2583  1754.8
0.9730        -162.3302    -169.7464       7.4162  1793.0
0.9740        -162.3305    -169.8860       7.5555  1826.6
0.9750        -162.3320    -169.9973       7.6653  1853.2
0.9760        -162.3343    -170.0724       7.7381  1870.8
0.9770        -162.3369    -170.1089       7.7720  1879.0
0.9780        -162.3392    -170.1116       7.7723  1879.0
0.9790        -162.3413    -170.0925       7.7511  1873.9
0.9800        -162.3435    -170.0670       7.7235  1867.2
0.9810        -162.3458    -170.0480       7.7023  1862.1
0.9820        -162.3479    -170.0435       7.6956  1860.5
0.9830        -162.3503    -170.0582       7.7079  1863.5
0.9840        -162.3534    -170.0923       7.7388  1871.0
0.9850        -162.3572    -170.1386       7.7814  1881.2
0.9860        -162.3613    -170.1854       7.8240  1891.5
0.9870        -162.3657    -170.2211       7.8554  1899.1
0.9880        -162.3701    -170.2369       7.8668  1901.9
0.9890        -162.3746    -170.2274       7.8528  1898.5
0.9900        -162.3790    -170.1887       7.8097  1888.1
0.9910        -162.3832    -170.1162       7.7331  1869.6
0.9920        -162.3864    -170.0048       7.6184  1841.8
0.9930        -162.3878    -169.8524       7.4646  1804.6
0.9940        -162.3873    -169.6646       7.2773  1759.4
0.9950        -162.3848    -169.4528       7.0680  1708.8
0.9960        -162.3800    -169.2317       6.8517  1656.5
0.9970        -162.3730    -169.0183       6.6453  1606.6
0.9980        -162.3640    -168.8308       6.4668  1563.4
0.9990        -162.3534    -168.6865       6.3330  1531.1
1.0000        -162.3419    -168.5991       6.2572  1512.8
1.0010        -162.3300    -168.5775       6.2476  1510.4
1.0020        -162.3184    -168.6240       6.3056  1524.4
1.0030        -162.3076    -168.7346       6.4270  1553.8
1.0040        -162.2982    -168.9010       6.6028  1596.3
1.0050        -162.2907    -169.1111       6.8204  1648.9
1.0060        -162.2854    -169.3500       7.0646  1708.0
1.0070        -162.2824    -169.6019       7.3194  1769.6
1.0080        -162.2819    -169.8512       7.5693  1830.0
1.0090        -162.2837    -170.0845       7.8008  1885.9
1.0100        -162.2877    -170.2903       8.0026  1934.7
1.0110        -162.2935    -170.4597       8.1662  1974.3
1.0120        -162.3007    -170.5868       8.2860  2003.2
1.0130        -162.3089    -170.6691       8.3603  2021.2
1.0140        -162.3175    -170.7089       8.3914  2028.7
1.0150        -162.3263    -170.7121       8.3858  2027.4
1.0160        -162.3350    -170.6874       8.3523  2019.3
1.0170        -162.3434    -170.6443       8.3009  2006.8
1.0180        -162.3515    -170.5922       8.2408  1992.3
1.0190        -162.3592    -170.5383       8.1791  1977.4
1.0200        -162.3667    -170.4850       8.1184  1962.7
1.0210        -162.3737    -170.4309       8.0572  1947.9
1.0220        -162.3803    -170.3711       7.9908  1931.9
1.0230        -162.3862    -170.2990       7.9127  1913.0
1.0240        -162.3911    -170.2091       7.8180  1890.1
1.0250        -162.3949    -170.0990       7.7042  1862.6
1.0260        -162.3972    -169.9699       7.5727  1830.8
1.0270        -162.3980    -169.8264       7.4284  1795.9
1.0280        -162.3973    -169.6767       7.2794  1759.9
1.0290        -162.3950    -169.5307       7.1357  1725.1
1.0300        -162.3913    -169.3991       7.0078  1694.2
1.0310        -162.3864    -169.2916       6.9052  1669.4
1.0320        -162.3805    -169.2168       6.8363  1652.8
1.0330        -162.3741    -169.1821       6.8081  1645.9
1.0340        -162.3676    -169.1921       6.8244  1649.9
1.0350        -162.3617    -169.2469       6.8852  1664.6
1.0360        -162.3564    -169.3429       6.9864  1689.0
1.0370        -162.3523    -169.4738       7.1215  1721.7
1.0380        -162.3497    -169.6313       7.2816  1760.4
1.0390        -162.3489    -169.8046       7.4557  1802.5
1.0400        -162.3498    -169.9805       7.6308  1844.8
1.0410        -162.3523    -170.1461       7.7939  1884.3
1.0420        -162.3563    -170.2904       7.9342  1918.2
1.0430        -162.3615    -170.4049       8.0434  1944.6
1.0440        -162.3678    -170.4834       8.1157  1962.1
1.0450        -162.3746    -170.5218       8.1472  1969.7
1.0460        -162.3816    -170.5185       8.1369  1967.2
1.0470        -162.3881    -170.4753       8.0872  1955.2
1.0480        -162.3937    -170.3995       8.0058  1935.5
1.0490        -162.3983    -170.3044       7.9061  1911.4
1.0500        -162.4019    -170.2064       7.8045  1886.8
1.0510        -162.4049    -170.1210       7.7161  1865.4
1.0520        -162.4075    -170.0579       7.6504  1849.6
1.0530        -162.4101    -170.0189       7.6088  1839.5
1.0540        -162.4125    -169.9968       7.5843  1833.6
1.0550        -162.4148    -169.9800       7.5652  1829.0
1.0560        -162.4167    -169.9562       7.5394  1822.7
1.0570        -162.4181    -169.9152       7.4971  1812.5
1.0580        -162.4187    -169.8513       7.4326  1796.9
1.0590        -162.4182    -169.7645       7.3463  1776.1
1.0600        -162.4164    -169.6613       7.2449  1751.5
1.0610        -162.4138    -169.5529       7.1391  1726.0
1.0620        -162.4103    -169.4500       7.0397  1701.9
1.0630        -162.4059    -169.3607       6.9547  1681.4
1.0640        -162.4008    -169.2907       6.8899  1665.7
1.0650        -162.3950    -169.2449       6.8499  1656.0
1.0660        -162.3889    -169.2275       6.8387  1653.3
1.0670        -162.3828    -169.2409       6.8580  1658.0
1.0680        -162.3771    -169.2845       6.9074  1669.9
1.0690        -162.3721    -169.3554       6.9833  1688.3
1.0700        -162.3679    -169.4481       7.0802  1711.7
1.0710        -162.3647    -169.5557       7.1910  1738.5
1.0720        -162.3627    -169.6697       7.3070  1766.6
1.0730        -162.3619    -169.7809       7.4190  1793.6
1.0740        -162.3622    -169.8795       7.5173  1817.4
1.0750        -162.3633    -169.9564       7.5932  1835.7
1.0760        -162.3649    -170.0057       7.6408  1847.3
1.0770        -162.3669    -170.0244       7.6576  1851.3
1.0780        -162.3688    -170.0122       7.6434  1847.9
1.0790        -162.3704    -169.9719       7.6015  1837.8
1.0800        -162.3713    -169.9103       7.5391  1822.6
1.0810        -162.3716    -169.8372       7.4656  1804.9
1.0820        -162.3714    -169.7624       7.3911  1786.9
1.0830        -162.3708    -169.6929       7.3221  1770.2
1.0840        -162.3698    -169.6308       7.2610  1755.4
1.0850        -162.3682    -169.5747       7.2065  1742.2
1.0860        -162.3660    -169.5220       7.1560  1730.0
1.0870        -162.3628    -169.4725       7.1097  1718.8
1.0880        -162.3587    -169.4320       7.0733  1710.0
1.0890        -162.3541    -169.4117       7.0576  1706.3
1.0900        -162.3494    -169.4252       7.0759  1710.7
1.0910        -162.3452    -169.4847       7.1395  1726.0
1.0920        -162.3424    -169.5954       7.2530  1753.5
1.0930        -162.3414    -169.7526       7.4112  1791.7
1.0940        -162.3423    -169.9419       7.5996  1837.3
1.0950        -162.3449    -170.1439       7.7989  1885.5
1.0960        -162.3494    -170.3395       7.9901  1931.7
1.0970        -162.3554    -170.5127       8.1574  1972.1
1.0980        -162.3626    -170.6531       8.2905  2004.3
1.0990        -162.3709    -170.7562       8.3853  2027.2
1.1000        -162.3799    -170.8228       8.4429  2041.2
1.1010        -162.3895    -170.8567       8.4671  2047.0
1.1020        -162.3994    -170.8627       8.4634  2046.1
1.1030        -162.4090    -170.8469       8.4378  2039.9
1.1040        -162.4185    -170.8162       8.3976  2030.2
1.1050        -162.4278    -170.7772       8.3493  2018.5
1.1060        -162.4369    -170.7340       8.2971  2005.9
1.1070        -162.4455    -170.6884       8.2429  1992.8
1.1080        -162.4536    -170.6406       8.1870  1979.3
1.1090        -162.4611    -170.5898       8.1286  1965.2
1.1100        -162.4682    -170.5349       8.0667  1950.2
1.1110        -162.4747    -170.4736       7.9988  1933.8
1.1120        -162.4807    -170.4012       7.9205  1914.9
1.1130        -162.4859    -170.3115       7.8256  1891.9
1.1140        -162.4898    -170.1991       7.7094  1863.8
1.1150        -162.4921    -170.0629       7.5708  1830.3
1.1160        -162.4929    -169.9064       7.4135  1792.3
1.1170        -162.4920    -169.7361       7.2441  1751.3
1.1180        -162.4893    -169.5608       7.0715  1709.6
1.1190        -162.4849    -169.3906       6.9058  1669.5
1.1200        -162.4788    -169.2358       6.7570  1633.6
1.1210        -162.4714    -169.1057       6.6343  1603.9
1.1220        -162.4629    -169.0083       6.5454  1582.4
1.1230        -162.4538    -168.9493       6.4955  1570.4
1.1240        -162.4444    -168.9307       6.4863  1568.1
1.1250        -162.4353    -168.9505       6.5152  1575.1
1.1260        -162.4266    -169.0027       6.5761  1589.8
1.1270        -162.4186    -169.0787       6.6600  1610.1
1.1280        -162.4113    -169.1692       6.7579  1633.8
1.1290        -162.4047    -169.2666       6.8618  1658.9
1.1300        -162.3990    -169.3658       6.9668  1684.3
1.1310        -162.3942    -169.4646       7.0705  1709.4
1.1320        -162.3904    -169.5624       7.1720  1733.9
1.1330        -162.3878    -169.6582       7.2704  1757.7
1.1340        -162.3864    -169.7492       7.3628  1780.0
1.1350        -162.3859    -169.8311       7.4452  1800.0
1.1360        -162.3860    -169.8995       7.5134  1816.5
1.1370        -162.3867    -169.9517       7.5650  1828.9
1.1380        -162.3878    -169.9879       7.6001  1837.4
1.1390        -162.3891    -170.0100       7.6209  1842.4
1.1400        -162.3905    -170.0219       7.6314  1845.0
1.1410        -162.3921    -170.0284       7.6364  1846.2
1.1420        -162.3936    -170.0348       7.6412  1847.3
1.1430        -162.3952    -170.0469       7.6517  1849.9
1.1440        -162.3970    -170.0707       7.6737  1855.2
1.1450        -162.3991    -170.1110       7.7118  1864.4
1.1460        -162.4019    -170.1702       7.7684  1878.1
1.1470        -162.4053    -170.2479       7.8426  1896.0
1.1480        -162.4097    -170.3404       7.9306  1917.3
1.1490        -162.4153    -170.4403       8.0250  1940.1
1.1500        -162.4219    -170.5366       8.1147  1961.8
1.1510        -162.4294    -170.6161       8.1867  1979.2
1.1520        -162.4372    -170.6671       8.2299  1989.7
1.1530        -162.4450    -170.6827       8.2377  1991.6
1.1540        -162.4526    -170.6622       8.2096  1984.8
1.1550        -162.4600    -170.6089       8.1489  1970.1
1.1560        -162.4667    -170.5271       8.0604  1948.7
1.1570        -162.4727    -170.4211       7.9485  1921.6
1.1580        -162.4773    -170.2954       7.8181  1890.1
1.1590        -162.4808    -170.1560       7.6752  1855.6
1.1600        -162.4829    -170.0077       7.5248  1819.2
1.1610        -162.4834    -169.8544       7.3710  1782.0
1.1620        -162.4822    -169.7021       7.2200  1745.5
1.1630        -162.4793    -169.5593       7.0800  1711.7
1.1640        -162.4750    -169.4361       6.9610  1682.9
1.1650        -162.4699    -169.3417       6.8718  1661.3
1.1660        -162.4642    -169.2812       6.8170  1648.1
1.1670        -162.4584    -169.2543       6.7960  1643.0
1.1680        -162.4524    -169.2554       6.8029  1644.7
1.1690        -162.4465    -169.2761       6.8296  1651.1
1.1700        -162.4406    -169.3091       6.8685  1660.5
1.1710        -162.4347    -169.3502       6.9155  1671.9
1.1720        -162.4291    -169.3996       6.9704  1685.2
1.1730        -162.4240    -169.4600       7.0360  1701.0
1.1740        -162.4198    -169.5344       7.1146  1720.0
1.1750        -162.4166    -169.6228       7.2062  1742.2
1.1760        -162.4147    -169.7210       7.3063  1766.4
1.1770        -162.4141    -169.8203       7.4062  1790.5
1.1780        -162.4148    -169.9078       7.4930  1811.5
1.1790        -162.4163    -169.9678       7.5515  1825.7
1.1800        -162.4179    -169.9861       7.5681  1829.7
1.1810        -162.4190    -169.9552       7.5361  1821.9
1.1820        -162.4194    -169.8768       7.4574  1802.9
1.1830        -162.4187    -169.7591       7.3404  1774.6
1.1840        -162.4168    -169.6140       7.1973  1740.0
1.1850        -162.4133    -169.4557       7.0424  1702.6
1.1860        -162.4082    -169.3003       6.8922  1666.3
1.1870        -162.4016    -169.1649       6.7633  1635.1
1.1880        -162.3940    -169.0651       6.6711  1612.8
1.1890        -162.3858    -169.0136       6.6278  1602.4
1.1900        -162.3775    -169.0185       6.6411  1605.6
1.1910        -162.3697    -169.0818       6.7122  1622.7
1.1920        -162.3629    -169.1991       6.8362  1652.7
1.1930        -162.3577    -169.3604       7.0028  1693.0
1.1940        -162.3543    -169.5516       7.1973  1740.0
1.1950        -162.3528    -169.7556       7.4028  1789.7
1.1960        -162.3533    -169.9555       7.6023  1837.9
1.1970        -162.3555    -170.1365       7.7810  1881.1
1.1980        -162.3594    -170.2866       7.9272  1916.5
1.1990        -162.3648    -170.3965       8.0317  1941.8
1.2000        -162.3711    -170.4586       8.0875  1955.2
1.2010        -162.3775    -170.4679       8.0904  1955.9
1.2020        -162.3833    -170.4261       8.0428  1944.4
1.2030        -162.3880    -170.3438       7.9558  1923.4
1.2040        -162.3916    -170.2400       7.8485  1897.5
1.2050        -162.3943    -170.1365       7.7422  1871.8
1.2060        -162.3965    -170.0519       7.6554  1850.8
1.2070        -162.3983    -169.9981       7.5998  1837.3
1.2080        -162.4001    -169.9793       7.5792  1832.4
1.2090        -162.4021    -169.9919       7.5898  1834.9
1.2100        -162.4044    -170.0264       7.6220  1842.7
1.2110        -162.4071    -170.0697       7.6626  1852.5
1.2120        -162.4102    -170.1075       7.6973  1860.9
1.2130        -162.4134    -170.1260       7.7126  1864.6
1.2140        -162.4165    -170.1148       7.6983  1861.1
1.2150        -162.4191    -170.0672       7.6481  1849.0
1.2160        -162.4210    -169.9814       7.5604  1827.8
1.2170        -162.4216    -169.8600       7.4384  1798.3
1.2180        -162.4208    -169.7102       7.2894  1762.3
1.2190        -162.4184    -169.5430       7.1246  1722.4
1.2200        -162.4143    -169.3709       6.9566  1681.8
1.2210        -162.4088    -169.2066       6.7978  1643.5
1.2220        -162.4019    -169.0605       6.6586  1609.8
1.2230        -162.3939    -168.9394       6.5456  1582.5
1.2240        -162.3848    -168.8470       6.4621  1562.3
1.2250        -162.3750    -168.7844       6.4094  1549.5
1.2260        -162.3648    -168.7516       6.3869  1544.1
1.2270        -162.3544    -168.7468       6.3924  1545.4
1.2280        -162.3441    -168.7667       6.4226  1552.7
1.2290        -162.3342    -168.8069       6.4727  1564.8
1.2300        -162.3248    -168.8619       6.5370  1580.4
1.2310        -162.3161    -168.9254       6.6093  1597.9
1.2320        -162.3079    -168.9916       6.6837  1615.9
1.2330        -162.3003    -169.0568       6.7565  1633.5
1.2340        -162.2933    -169.1198       6.8266  1650.4
1.2350        -162.2868    -169.1818       6.8950  1666.9
1.2360        -162.2810    -169.2455       6.9645  1683.7
1.2370        -162.2759    -169.3146       7.0387  1701.7
1.2380        -162.2716    -169.3926       7.1209  1721.6
1.2390        -162.2683    -169.4818       7.2134  1743.9
1.2400        -162.2662    -169.5823       7.3161  1768.7
1.2410        -162.2653    -169.6911       7.4258  1795.3
1.2420        -162.2655    -169.8021       7.5366  1822.0
1.2430        -162.2669    -169.9078       7.6409  1847.3
1.2440        -162.2693    -170.0003       7.7310  1869.1
1.2450        -162.2726    -170.0722       7.7996  1885.6
1.2460        -162.2767    -170.1159       7.8392  1895.2
1.2470        -162.2814    -170.1233       7.8419  1895.9
1.2480        -162.2861    -170.0849       7.7989  1885.5
1.2490        -162.2899    -169.9934       7.7035  1862.4
1.2500        -162.2923    -169.8466       7.5543  1826.3
1.2510        -162.2926    -169.6503       7.3578  1778.8
1.2520        -162.2905    -169.4181       7.1276  1723.2
1.2530        -162.2859    -169.1692       6.8834  1664.1
1.2540        -162.2789    -168.9258       6.6469  1607.0
1.2550        -162.2697    -168.7094       6.4397  1556.9
1.2560        -162.2588    -168.5387       6.2799  1518.2
1.2570        -162.2467    -168.4270       6.1803  1494.2
1.2580        -162.2340    -168.3817       6.1477  1486.3
1.2590        -162.2213    -168.4038       6.1825  1494.7
1.2600        -162.2094    -168.4887       6.2793  1518.1
1.2610        -162.1987    -168.6262       6.4275  1553.9
1.2620        -162.1896    -168.8017       6.6121  1598.5
1.2630        -162.1825    -168.9981       6.8156  1647.7
1.2640        -162.1771    -169.1975       7.0204  1697.2
1.2650        -162.1736    -169.3841       7.2106  1743.2
1.2660        -162.1716    -169.5460       7.3744  1782.8
1.2670        -162.1709    -169.6755       7.5046  1814.3
1.2680        -162.1713    -169.7703       7.5991  1837.2
1.2690        -162.1724    -169.8324       7.6601  1851.9
1.2700        -162.1739    -169.8674       7.6934  1860.0
1.2710        -162.1758    -169.8828       7.7069  1863.2
1.2720        -162.1780    -169.8871       7.7091  1863.8
1.2730        -162.1804    -169.8878       7.7074  1863.3
1.2740        -162.1829    -169.8898       7.7069  1863.2
1.2750        -162.1856    -169.8955       7.7099  1864.0
1.2760        -162.1885    -169.9046       7.7161  1865.4
1.2770        -162.1914    -169.9148       7.7234  1867.2
1.2780        -162.1943    -169.9237       7.7294  1868.7
1.2790        -162.1971    -169.9299       7.7328  1869.5
1.2800        -162.1997    -169.9343       7.7345  1869.9
1.2810        -162.2023    -169.9400       7.7377  1870.7
1.2820        -162.2049    -169.9514       7.7466  1872.8
1.2830        -162.2076    -169.9728       7.7652  1877.3
1.2840        -162.2106    -170.0078       7.7972  1885.0
1.2850        -162.2142    -170.0582       7.8440  1896.4
1.2860        -162.2183    -170.1234       7.9051  1911.1
1.2870        -162.2232    -170.2009       7.9778  1928.7
1.2880        -162.2288    -170.2871       8.0583  1948.2
1.2890        -162.2351    -170.3774       8.1423  1968.5
1.2900        -162.2423    -170.4686       8.2263  1988.8
1.2910        -162.2504    -170.5575       8.3071  2008.3
1.2920        -162.2594    -170.6398       8.3804  2026.0
1.2930        -162.2692    -170.7099       8.4407  2040.6
1.2940        -162.2794    -170.7625       8.4831  2050.9
1.2950        -162.2899    -170.7941       8.5042  2056.0
